line_id,stage,name,stages_total,bucket,habitat,type1,type2,archetype,rarity,evolve_at,note
L005,1,,1,POSTGAME,roaming/summit,FORGE,,Wall,legendary,,"STANCE BEAST (Guard) - locked: tortoise colossus, a living citadel; fights pure Guard"
L006,1,,1,POSTGAME,roaming/summit,GALE,,Dodger,legendary,,"STANCE BEAST (Fluid) - locked: ribbon serpent, a streamer of wind with eyes; fights pure Fluid"
L007,1,,1,POSTGAME,roaming/summit,DRAKE,,Pacer,legendary,,"COVER LEGENDARY - locked: Argent moon-dragon, silver celestial wyrm (namesake). Night-only tracking; fight = moon-phase stance rhythm at Red-tier reads; name must derive from argent"
L008,1,FLITPECK,2,CH1,route grass,GALE,,Glass nuke,uncommon,16,"GYM LINE (Falkner ace) - locked: gust-dancer, trait GUSTBORNE (surges on arena rhythm rounds), Glass nuke shape | small twitchy gust-dancer → gust-dancer ascendant; sharp/fast/fragile, surges on rhythm rounds"
L008,2,GALEHAWK,2,CH1,route grass,GALE,,Glass nuke,uncommon,,"GYM LINE (Falkner ace) - locked: gust-dancer, trait GUSTBORNE (surges on arena rhythm rounds), Glass nuke shape | small twitchy gust-dancer → gust-dancer ascendant; sharp/fast/fragile, surges on rhythm rounds"
L009,1,MURKIN,2,CH2,old well,VENOM,,Drainer,uncommon,16,"GYM LINE — leader of CH2 uses top stage as ace | drip-slick well-eel → venom-maned serpent; CH2 leader ace, sleek and toxic"
L009,2,SLUDGNATH,2,CH2,old well,VENOM,,Drainer,uncommon,,"GYM LINE — leader of CH2 uses top stage as ace | drip-slick well-eel → venom-maned serpent; CH2 leader ace, sleek and toxic"
L010,1,,2,CH3,city outskirts,BASIC,,Dodger,uncommon,16,GYM LINE — leader of CH3 uses top stage as ace
L010,2,,2,CH3,city outskirts,BASIC,,Dodger,uncommon,,GYM LINE — leader of CH3 uses top stage as ace
L011,1,,2,CH4,graveyard path,SPIRIT,,Wall,uncommon,16,GYM LINE — leader of CH4 uses top stage as ace
L011,2,,2,CH4,graveyard path,SPIRIT,,Wall,uncommon,,GYM LINE — leader of CH4 uses top stage as ace
L012,1,,2,CH5,dojo isle,BRAWN,,Dodger,uncommon,16,GYM LINE — leader of CH5 uses top stage as ace
L012,2,,2,CH5,dojo isle,BRAWN,,Dodger,uncommon,,GYM LINE — leader of CH5 uses top stage as ace
L013,1,,2,CH6,lighthouse,FORGE,,Brawler,uncommon,16,GYM LINE — leader of CH6 uses top stage as ace
L013,2,,2,CH6,lighthouse,FORGE,,Brawler,uncommon,,GYM LINE — leader of CH6 uses top stage as ace
L014,1,,2,CH7,lake of rage,FROST,,Wall,uncommon,16,GYM LINE — leader of CH7 uses top stage as ace
L014,2,,2,CH7,lake of rage,FROST,,Wall,uncommon,,GYM LINE — leader of CH7 uses top stage as ace
L015,1,,2,CH8,dragon den,DRAKE,,Drainer,uncommon,16,GYM LINE — leader of CH8 uses top stage as ace
L015,2,,2,CH8,dragon den,DRAKE,,Drainer,uncommon,,GYM LINE — leader of CH8 uses top stage as ace
L016,1,,2,POSTGAME,sky,SPARK,,Dodger,common,16,
L016,2,,2,POSTGAME,sky,SPARK,,Dodger,common,,
L017,1,,2,POSTGAME,lost region teasers,VENOM,,Wall,common,16,
L017,2,,2,POSTGAME,lost region teasers,VENOM,,Wall,common,,
L018,1,,2,CH8,dragon den,NATURE,,Counter-tank,common,16,
L018,2,,2,CH8,dragon den,NATURE,,Counter-tank,common,,
L019,1,CRAGOX,2,CH7,lake of rage,TERRA,,Brawler,common,16,
L019,2,BOULDRONT,2,CH7,lake of rage,TERRA,,Brawler,common,,
L020,1,,3,CH7,mountain pass,SPARK,,Glass nuke,uncommon,16,
L020,2,,3,CH7,mountain pass,SPARK,,Glass nuke,uncommon,34,
L020,3,,3,CH7,mountain pass,SPARK,,Glass nuke,uncommon,,
L021,1,,2,CH5,whirl sea,SPIRIT,,Pacer,uncommon,16,
L021,2,,2,CH5,whirl sea,SPIRIT,,Pacer,uncommon,,
L022,1,TIDEPADDLE,1,CH3,tidepools,AQUA,,Drainer,common,,round paddle-finned tidepool critter; humble shore common
L023,1,GRITHOAX,3,CH1,route grass,TERRA,,Trickster,common,16,"squat hooded burrow-mound with peeking eyes (plays dead in dust) → lure-tongued ambusher → living pitfall, chasm-jawed"
L023,2,CAVELURE,3,CH1,route grass,TERRA,,Trickster,common,34,"squat hooded burrow-mound with peeking eyes (plays dead in dust) → lure-tongued ambusher → living pitfall, chasm-jawed"
L023,3,CHASMTRAP,3,CH1,route grass,TERRA,,Trickster,common,,"squat hooded burrow-mound with peeking eyes (plays dead in dust) → lure-tongued ambusher → living pitfall, chasm-jawed"
L024,1,,2,CH4,burned tower,VENOM,,Dodger,uncommon,16,
L024,2,,2,CH4,burned tower,VENOM,,Dodger,uncommon,,
L025,1,WYRMLET,3,MT_SILVER,summit,DRAKE,,Wall,uncommon,16,
L025,2,DRAKESPINE,3,MT_SILVER,summit,DRAKE,,Wall,uncommon,34,
L025,3,RIDGEWYRM,3,MT_SILVER,summit,DRAKE,,Wall,uncommon,,
L026,1,,2,MT_SILVER,summit,GALE,,Counter-tank,common,16,
L026,2,,2,MT_SILVER,summit,GALE,,Counter-tank,common,,
L027,1,MARSHMASH,1,CH1,route grass,AQUA,,Brawler,common,,"pugnacious pond-frog; scrappy water brawler by the reeds (tough, not cute)"
L028,1,,1,CH7,ice path,FROST,BRAWN,Glass nuke,common,,
L029,1,,2,CH7,ice path,FROST,BASIC,Pacer,uncommon,16,
L029,2,,2,CH7,ice path,FROST,BASIC,Pacer,uncommon,,
L030,1,,2,CH6,lighthouse,DRAKE,,Drainer,uncommon,16,
L030,2,,2,CH6,lighthouse,DRAKE,,Drainer,uncommon,,
L031,1,,2,KANTO,kanto routes,DRAKE,,Trickster,uncommon,16,
L031,2,,2,KANTO,kanto routes,DRAKE,,Trickster,uncommon,,
L032,1,,2,CH4,dusk routes,NATURE,,Dodger,common,16,
L032,2,,2,CH4,dusk routes,NATURE,,Dodger,common,,
L033,1,,1,CH4,graveyard path,TERRA,,Wall,rare,,
L034,1,,2,CH4,graveyard path,SPIRIT,,Counter-tank,uncommon,16,
L034,2,,2,CH4,graveyard path,SPIRIT,,Counter-tank,uncommon,,
L035,1,,3,CH3,city outskirts,SPIRIT,,Brawler,common,16,
L035,2,,3,CH3,city outskirts,SPIRIT,,Brawler,common,34,
L035,3,,3,CH3,city outskirts,SPIRIT,,Brawler,common,,
L036,1,,2,CH7,lake of rage,BRAWN,,Glass nuke,uncommon,16,
L036,2,,2,CH7,lake of rage,BRAWN,,Glass nuke,uncommon,,
L037,1,,2,CH5,coastal cliffs,SPARK,,Pacer,uncommon,16,
L037,2,,2,CH5,coastal cliffs,SPARK,,Pacer,uncommon,,
L038,1,,1,CH5,dojo isle,BRAWN,,Drainer,common,,
L039,1,,3,KANTO,viridian forest,BASIC,FLAME,Trickster,uncommon,16,
L039,2,,3,KANTO,viridian forest,BASIC,FLAME,Trickster,uncommon,34,
L039,3,,3,KANTO,viridian forest,BASIC,FLAME,Trickster,uncommon,,
L040,1,,1,CH6,iron coast,AQUA,,Dodger,common,,
L041,1,,1,CH7,ice path,DRAKE,,Wall,common,,
L042,1,,3,KANTO,cinnabar,AQUA,,Counter-tank,uncommon,16,
L042,2,,3,KANTO,cinnabar,AQUA,,Counter-tank,uncommon,34,
L042,3,,3,KANTO,cinnabar,AQUA,,Counter-tank,uncommon,,
L043,1,,2,CH2,ilex forest,VENOM,,Brawler,uncommon,16,
L043,2,,2,CH2,ilex forest,VENOM,,Brawler,uncommon,,
L044,1,,3,CH3,ranch fields,FORGE,,Glass nuke,uncommon,16,
L044,2,,3,CH3,ranch fields,FORGE,,Glass nuke,uncommon,34,
L044,3,,3,CH3,ranch fields,FORGE,,Glass nuke,uncommon,,
L045,1,,2,CH4,dusk routes,GALE,,Pacer,common,16,
L045,2,,2,CH4,dusk routes,GALE,,Pacer,common,,
L046,1,,3,CH8,dragon den,VENOM,,Drainer,common,16,
L046,2,,3,CH8,dragon den,VENOM,,Drainer,common,34,
L046,3,,3,CH8,dragon den,VENOM,,Drainer,common,,
L047,1,,1,CH4,dusk routes,DRAKE,SPIRIT,Trickster,rare,,
L048,1,,2,CH4,graveyard path,SPARK,,Dodger,uncommon,16,
L048,2,,2,CH4,graveyard path,SPARK,,Dodger,uncommon,,
L049,1,,2,CH5,dojo isle,TERRA,FLAME,Wall,uncommon,16,
L049,2,,2,CH5,dojo isle,TERRA,FLAME,Wall,uncommon,,
L050,1,,2,CH3,city outskirts,TERRA,,Counter-tank,common,16,
L050,2,,2,CH3,city outskirts,TERRA,,Counter-tank,common,,
L051,1,,2,CH6,iron coast,FLAME,,Brawler,uncommon,16,
L051,2,,2,CH6,iron coast,FLAME,,Brawler,uncommon,,
L052,1,,1,CH7,mountain pass,BASIC,,Glass nuke,common,,
L053,1,,2,CH8,high routes,FORGE,,Pacer,uncommon,16,
L053,2,,2,CH8,high routes,FORGE,,Pacer,uncommon,,
L054,1,,1,CH8,dragon den,BRAWN,,Drainer,common,,
L055,1,,1,MT_SILVER,mt silver slopes,TERRA,,Trickster,uncommon,,
L056,1,,2,CH5,dojo isle,NATURE,,Dodger,uncommon,16,
L056,2,,2,CH5,dojo isle,NATURE,,Dodger,uncommon,,
L057,1,,2,CH2,ilex forest,BASIC,,Wall,uncommon,16,
L057,2,,2,CH2,ilex forest,BASIC,,Wall,uncommon,,
L058,1,,2,POSTGAME,lost region teasers,FLAME,,Counter-tank,common,16,
L058,2,,2,POSTGAME,lost region teasers,FLAME,,Counter-tank,common,,
L059,1,,2,POSTGAME,roaming,VENOM,NATURE,Brawler,common,16,
L059,2,,2,POSTGAME,roaming,VENOM,NATURE,Brawler,common,,
L060,1,,2,CH7,ice path,VENOM,,Glass nuke,uncommon,16,
L060,2,,2,CH7,ice path,VENOM,,Glass nuke,uncommon,,
L061,1,,2,CH8,blackthorn crags,FORGE,,Pacer,common,16,
L061,2,,2,CH8,blackthorn crags,FORGE,,Pacer,common,,
L062,1,,2,CH5,dojo isle,VENOM,,Drainer,common,16,
L062,2,,2,CH5,dojo isle,VENOM,,Drainer,common,,
L063,1,,2,CH6,lighthouse,VENOM,,Trickster,common,16,
L063,2,,2,CH6,lighthouse,VENOM,,Trickster,common,,
L064,1,,2,CH5,whirl sea,FORGE,,Dodger,common,16,
L064,2,,2,CH5,whirl sea,FORGE,,Dodger,common,,
L065,1,,2,CH3,ranch fields,DRAKE,,Wall,rare,16,
L065,2,,2,CH3,ranch fields,DRAKE,,Wall,rare,,
L066,1,,2,CH8,high routes,NATURE,,Counter-tank,common,16,
L066,2,,2,CH8,high routes,NATURE,,Counter-tank,common,,
L067,1,,1,KANTO,seafoam,DRAKE,,Brawler,common,,
L068,1,,3,CH6,mines,FLAME,,Glass nuke,common,16,
L068,2,,3,CH6,mines,FLAME,,Glass nuke,common,34,
L068,3,,3,CH6,mines,FLAME,,Glass nuke,common,,
L069,1,,2,CH8,blackthorn crags,FROST,,Pacer,uncommon,16,
L069,2,,2,CH8,blackthorn crags,FROST,,Pacer,uncommon,,
L070,1,,3,POSTGAME,lost region teasers,DRAKE,BASIC,Drainer,rare,16,
L070,2,,3,POSTGAME,lost region teasers,DRAKE,BASIC,Drainer,rare,34,
L070,3,,3,POSTGAME,lost region teasers,DRAKE,BASIC,Drainer,rare,,
L071,1,,2,CH2,ilex forest,BASIC,AQUA,Trickster,common,16,
L071,2,,2,CH2,ilex forest,BASIC,AQUA,Trickster,common,,
L072,1,,2,KANTO,viridian forest,BRAWN,,Dodger,rare,16,
L072,2,,2,KANTO,viridian forest,BRAWN,,Dodger,rare,,
L073,1,,1,CH3,ranch fields,SPARK,,Wall,uncommon,,
L074,1,,1,CH2,ilex forest,BASIC,,Counter-tank,common,,
L075,1,,3,CH6,lighthouse,FORGE,,Brawler,uncommon,16,
L075,2,,3,CH6,lighthouse,FORGE,,Brawler,uncommon,34,
L075,3,,3,CH6,lighthouse,FORGE,,Brawler,uncommon,,
L076,1,,2,CH3,ranch fields,FLAME,,Glass nuke,uncommon,16,
L076,2,,2,CH3,ranch fields,FLAME,,Glass nuke,uncommon,,
L077,1,,2,MT_SILVER,mt silver slopes,VENOM,,Pacer,uncommon,16,
L077,2,,2,MT_SILVER,mt silver slopes,VENOM,,Pacer,uncommon,,
L078,1,,1,CH6,mines,FROST,,Drainer,rare,,
L079,1,,3,CH2,old well,AQUA,,Trickster,uncommon,16,
L079,2,,3,CH2,old well,AQUA,,Trickster,uncommon,34,
L079,3,,3,CH2,old well,AQUA,,Trickster,uncommon,,
L080,1,,2,CH2,wetland,BASIC,,Dodger,common,16,
L080,2,,2,CH2,wetland,BASIC,,Dodger,common,,
L081,1,,2,CH2,old well,DRAKE,FLAME,Wall,uncommon,16,
L081,2,,2,CH2,old well,DRAKE,FLAME,Wall,uncommon,,
L082,1,,1,CH4,dusk routes,TERRA,,Counter-tank,common,,
L083,1,,2,KANTO,cinnabar,FROST,,Brawler,rare,16,
L083,2,,2,KANTO,cinnabar,FROST,,Brawler,rare,,
L084,1,,2,KANTO,safari preserve,FROST,,Glass nuke,common,16,
L084,2,,2,KANTO,safari preserve,FROST,,Glass nuke,common,,
L085,1,,2,KANTO,power plant,GALE,,Pacer,common,16,
L085,2,,2,KANTO,power plant,GALE,,Pacer,common,,
L086,1,,2,KANTO,power plant,FLAME,,Drainer,common,16,
L086,2,,2,KANTO,power plant,FLAME,,Drainer,common,,
L087,1,,1,CH3,underground,NATURE,,Trickster,rare,,
L088,1,,3,KANTO,power plant,SPARK,,Dodger,common,16,
L088,2,,3,KANTO,power plant,SPARK,,Dodger,common,34,
L088,3,,3,KANTO,power plant,SPARK,,Dodger,common,,
L089,1,,1,CH5,dojo isle,BASIC,TERRA,Wall,rare,,
L090,1,,3,KANTO,seafoam,BASIC,,Counter-tank,common,16,
L090,2,,3,KANTO,seafoam,BASIC,,Counter-tank,common,34,
L090,3,,3,KANTO,seafoam,BASIC,,Counter-tank,common,,
L091,1,,2,KANTO,cinnabar,FLAME,,Brawler,uncommon,16,
L091,2,,2,KANTO,cinnabar,FLAME,,Brawler,uncommon,,
L092,1,,1,KANTO,kanto routes,BASIC,,Glass nuke,common,,
L093,1,,1,KANTO,safari preserve,VENOM,FLAME,Pacer,common,,
L094,1,,1,KANTO,power plant,NATURE,,Drainer,rare,,
L095,1,,1,KANTO,seafoam,SPIRIT,,Trickster,uncommon,,
L096,1,,1,KANTO,safari preserve,FLAME,,Dodger,rare,,
L097,1,,1,KANTO,cinnabar,SPIRIT,,Wall,common,,
L098,1,,2,KANTO,safari preserve,BRAWN,,Counter-tank,rare,16,
L098,2,,2,KANTO,safari preserve,BRAWN,,Counter-tank,rare,,
L099,1,,3,KANTO,kanto routes,NATURE,FORGE,Brawler,common,16,
L099,2,,3,KANTO,kanto routes,NATURE,FORGE,Brawler,common,34,
L099,3,,3,KANTO,kanto routes,NATURE,FORGE,Brawler,common,,
L100,1,,1,KANTO,safari preserve,BRAWN,,Glass nuke,uncommon,,
L101,1,,3,KANTO,cinnabar,TERRA,NATURE,Pacer,uncommon,16,
L101,2,,3,KANTO,cinnabar,TERRA,NATURE,Pacer,uncommon,34,
L101,3,,3,KANTO,cinnabar,TERRA,NATURE,Pacer,uncommon,,
L102,1,,2,KANTO,kanto routes,FROST,DRAKE,Drainer,uncommon,16,
L102,2,,2,KANTO,kanto routes,FROST,DRAKE,Drainer,uncommon,,
L103,1,,1,KANTO,safari preserve,BASIC,,Trickster,common,,
L104,1,,3,KANTO,safari preserve,TERRA,,Dodger,uncommon,16,
L104,2,,3,KANTO,safari preserve,TERRA,,Dodger,uncommon,34,
L104,3,,3,KANTO,safari preserve,TERRA,,Dodger,uncommon,,
L105,1,,2,KANTO,kanto routes,SPIRIT,,Wall,uncommon,16,
L105,2,,2,KANTO,kanto routes,SPIRIT,,Wall,uncommon,,
L106,1,NIPVOLE,2,CH1,route grass,BASIC,,Dodger,common,16,"brown field-vole → burrowing drove-rodent; quick weak everywhere, the early-rodent"
L106,2,BURROWDROVE,2,CH1,route grass,BASIC,,Dodger,common,,"brown field-vole → burrowing drove-rodent; quick weak everywhere, the early-rodent"
L107,1,DRISKIT,2,CH1,route grass,BASIC,GALE,Glass nuke,common,16,small brown songbird → swift hunting-bird; the early-bird (BASIC/GALE)
L107,2,DRISKADE,2,CH1,route grass,BASIC,GALE,Glass nuke,common,,small brown songbird → swift hunting-bird; the early-bird (BASIC/GALE)
L108,1,CHITTERLING,3,CH1,route grass,INSECT,,Drainer,common,16,"leaf-grub → swarm-mite → hive-jawed predator; the early-bug, Sap identity"
L108,2,MITESWARM,3,CH1,route grass,INSECT,,Drainer,common,34,"leaf-grub → swarm-mite → hive-jawed predator; the early-bug, Sap identity"
L108,3,HIVEMAW,3,CH1,route grass,INSECT,,Drainer,common,,"leaf-grub → swarm-mite → hive-jawed predator; the early-bug, Sap identity"
L109,1,THISTLEKIT,1,CH1,forest edge,NATURE,,Trickster,common,,"burr-covered seed-critter; clings and saps, forest-edge"
L110,1,GLIMMERFLY,2,CH1,dusk routes,INSECT,SPIRIT,Pacer,uncommon,16,faintly-glowing dusk moth line; eerie twilight bug (INSECT/SPIRIT)
L110,2,DUSKMOTH,2,CH1,dusk routes,INSECT,SPIRIT,Pacer,uncommon,,faintly-glowing dusk moth line; eerie twilight bug (INSECT/SPIRIT)
L111,1,GROTTLE,2,CH1,cave,STONE,,Wall,common,16,"blind crystal-backed cave-grub → stalactite-jawed grinder; armored, eyeless, real"
L111,2,STALAGNAW,2,CH1,cave,STONE,,Wall,common,,"blind crystal-backed cave-grub → stalactite-jawed grinder; armored, eyeless, real"
L112,1,DRILLNOUT,2,CH1,cave,STONE,INSECT,Glass nuke,uncommon,16,horn-drill beetle → spiraling boring-scarab; Kabutops-ish bladed digger
L112,2,BORESCARAB,2,CH1,cave,STONE,INSECT,Glass nuke,uncommon,,horn-drill beetle → spiraling boring-scarab; Kabutops-ish bladed digger
L113,1,RUBBLEPUP,3,CH3,rocky slopes,TERRA,,Brawler,uncommon,16,rock-hide jackal pack-line; lean scrappy → boulder-shouldered alpha; Lucario-cool predator
L113,2,SCREEHOUND,3,CH3,rocky slopes,TERRA,,Brawler,uncommon,34,rock-hide jackal pack-line; lean scrappy → boulder-shouldered alpha; Lucario-cool predator
L113,3,TALUSFANG,3,CH3,rocky slopes,TERRA,,Brawler,uncommon,,rock-hide jackal pack-line; lean scrappy → boulder-shouldered alpha; Lucario-cool predator
L114,1,OREWING,2,CH7,mountain pass,STONE,GALE,Pacer,uncommon,16,slate-feathered crag-hawk → great iron-winged raptor; apex highland bird
L114,2,IRONROC,2,CH7,mountain pass,STONE,GALE,Pacer,uncommon,,slate-feathered crag-hawk → great iron-winged raptor; apex highland bird
L115,1,PUMICETTE,2,CH6,volcanic cave,FLAME,STONE,Wall,uncommon,16,"glowing pumice-shell critter → magma-cored crag-beast; molten, primal"
L115,2,MAGMACRAG,2,CH6,volcanic cave,FLAME,STONE,Wall,uncommon,,"glowing pumice-shell critter → magma-cored crag-beast; molten, primal"
L116,1,PEBBLAW,3,CH3,beach,STONE,AQUA,Counter-tank,uncommon,16,"trilobite-shell crawler → clawed shore-crab → bladed prehistoric reef-predator; the Kabutops homage, primal/armored"
L116,2,CARAPACE,3,CH3,beach,STONE,AQUA,Counter-tank,uncommon,34,"trilobite-shell crawler → clawed shore-crab → bladed prehistoric reef-predator; the Kabutops homage, primal/armored"
L116,3,KABULORD,3,CH3,beach,STONE,AQUA,Counter-tank,uncommon,,"trilobite-shell crawler → clawed shore-crab → bladed prehistoric reef-predator; the Kabutops homage, primal/armored"
L117,1,SPOUTLING,2,CH3,coast,AQUA,,Glass nuke,common,16,"jet-spouting blowfish → pressurized geyser-beast; fast, bursty"
L117,2,GEYSARK,2,CH3,coast,AQUA,,Glass nuke,common,,"jet-spouting blowfish → pressurized geyser-beast; fast, bursty"
L118,1,SEADRIFT,3,CH9,open sea,AQUA,,Pacer,uncommon,16,elegant ribbon-eel → great current-rider serpent; Seadra-elegant sea-dragon
L118,2,CURRENTINE,3,CH9,open sea,AQUA,,Pacer,uncommon,34,elegant ribbon-eel → great current-rider serpent; Seadra-elegant sea-dragon
L118,3,MAERWAKE,3,CH9,open sea,AQUA,,Pacer,uncommon,,elegant ribbon-eel → great current-rider serpent; Seadra-elegant sea-dragon
L119,1,MIREPUP,2,CH5,swamp,VENOM,TERRA,Brawler,common,16,"mud-caked swamp-hound → tusked bog-beast; grimy, tough, real"
L119,2,BOGFANG,2,CH5,swamp,VENOM,TERRA,Brawler,common,,"mud-caked swamp-hound → tusked bog-beast; grimy, tough, real"
L120,1,REEDWISP,2,CH5,marsh,NATURE,SPIRIT,Trickster,uncommon,16,"will-o'-wisp reed-sprite → drifting marsh-shade; eerie, half-seen"
L120,2,MARSHADE,2,CH5,marsh,NATURE,SPIRIT,Trickster,uncommon,,"will-o'-wisp reed-sprite → drifting marsh-shade; eerie, half-seen"
L121,1,BRINEHISS,2,CH5,salt marsh,AQUA,VENOM,Drainer,uncommon,16,"brine-spitting sea-snake → corrosive salt-wyrm; lean, venomous"
L121,2,SALTWYRM,2,CH5,salt marsh,AQUA,VENOM,Drainer,uncommon,,"brine-spitting sea-snake → corrosive salt-wyrm; lean, venomous"
L122,1,CORALCLAW,2,CH9,reef,AQUA,STONE,Wall,uncommon,16,coral-armored crab → reef-fortress crusher; bulky living-stone
L122,2,REEFMAUL,2,CH9,reef,AQUA,STONE,Wall,uncommon,,coral-armored crab → reef-fortress crusher; bulky living-stone
L123,1,BRAMBLEKIT,3,CH2,deep forest,NATURE,,Brawler,uncommon,16,bramble-furred cub → thorn-knuckled beast → briar-maned alpha; Lucario-ish woodland martial-predator
L123,2,THORNJACK,3,CH2,deep forest,NATURE,,Brawler,uncommon,34,bramble-furred cub → thorn-knuckled beast → briar-maned alpha; Lucario-ish woodland martial-predator
L123,3,BRIARFANG,3,CH2,deep forest,NATURE,,Brawler,uncommon,,bramble-furred cub → thorn-knuckled beast → briar-maned alpha; Lucario-ish woodland martial-predator
L124,1,MANTILL,2,CH2,forest,INSECT,NATURE,Glass nuke,uncommon,16,"leaf-blade mantis → scythe-armed forest hunter; the Scizor homage, bladed/sleek/lethal"
L124,2,GLAIVEWING,2,CH2,forest,INSECT,NATURE,Glass nuke,uncommon,,"leaf-blade mantis → scythe-armed forest hunter; the Scizor homage, bladed/sleek/lethal"
L125,1,ACORNTLE,3,CH2,woodland,NATURE,STONE,Wall,common,16,"shelled seed-critter → bark-plated guardian → timber-hided forest tank; sturdy, real"
L125,2,OAKWARD,3,CH2,woodland,NATURE,STONE,Wall,common,34,"shelled seed-critter → bark-plated guardian → timber-hided forest tank; sturdy, real"
L125,3,TIMBERHIDE,3,CH2,woodland,NATURE,STONE,Wall,common,,"shelled seed-critter → bark-plated guardian → timber-hided forest tank; sturdy, real"
L126,1,FAWNDLE,2,CH2,meadow,NATURE,,Pacer,common,16,"spindly fawn → proud antlered stag; graceful real-animal, grounded"
L126,2,STRIDEHART,2,CH2,meadow,NATURE,,Pacer,common,,"spindly fawn → proud antlered stag; graceful real-animal, grounded"
L127,1,DUSKWING,2,CH4,deep wood,NATURE,SPIRIT,Trickster,uncommon,16,shadow-eared hare → moonlit spectral leaper; eerie woodland trickster
L127,2,NOCTHARE,2,CH4,deep wood,NATURE,SPIRIT,Trickster,uncommon,,shadow-eared hare → moonlit spectral leaper; eerie woodland trickster
L128,1,BUZZGRUB,3,CH2,forest,INSECT,,Glass nuke,common,16,fat grub → darting wasp → barbed hornet-queen; real-insect menace
L128,2,WASPRITE,3,CH2,forest,INSECT,,Glass nuke,common,34,fat grub → darting wasp → barbed hornet-queen; real-insect menace
L128,3,VESPINE,3,CH2,forest,INSECT,,Glass nuke,common,,fat grub → darting wasp → barbed hornet-queen; real-insect menace
L129,1,MOSSPAW,2,CH2,forest floor,NATURE,TERRA,Brawler,uncommon,16,moss-backed badger-thing → boulder-shouldered grove-beast; grounded brute
L129,2,LUMBROCK,2,CH2,forest floor,NATURE,TERRA,Brawler,uncommon,,moss-backed badger-thing → boulder-shouldered grove-beast; grounded brute
L130,1,PETALISK,2,CH2,glade,NATURE,,Drainer,common,16,"bud-headed lizard → carnivorous bloom-jawed predator; Venus-flytrap-as-real-beast, predatory not cute"
L130,2,BLOOMAW,2,CH2,glade,NATURE,,Drainer,common,,"bud-headed lizard → carnivorous bloom-jawed predator; Venus-flytrap-as-real-beast, predatory not cute"
L131,1,CANOPER,2,CH4,canopy,GALE,NATURE,Pacer,uncommon,16,gliding tree-lizard → great leaf-winged canopy raptor; apex forest flyer
L131,2,SOARTALON,2,CH4,canopy,GALE,NATURE,Pacer,uncommon,,gliding tree-lizard → great leaf-winged canopy raptor; apex forest flyer
L132,1,CINDSTOAT,3,CH6,volcano slopes,FLAME,,Glass nuke,uncommon,16,"heat-shimmer stoat → flame-maned weasel → blazing nine-tailed marten; Typhlosion-energy fierce fire-furred mustelid"
